gameId,game,boxart,naRelDate2,euRelDate2,loosePrice,licensed,wikipediaUrl
243,Flight of the Intruder,,1991-05-01,,476,1,/wiki/Flight_of_the_Intruder_(video_game)
244,Flying Dragon: The Secret Scroll,,1989-08-01,,0,1,/wiki/Flying_Dragon:_The_Secret_Scroll
245,Flying Warriors,,1991-02-01,,537,1,/wiki/Flying_Warriors
246,Formula One: Built to Win,,1990-11-01,,805,1,/wiki/Formula_One:_Built_to_Win
247,Frankenstein: The Monster Returns,,1991-07-01,,1715,1,/wiki/Frankenstein:_The_Monster_Returns
248,Freedom Force,,1988-04-01,,524,1,/wiki/Freedom_Force_(video_game)
249,Friday the 13th,,1989-02-01,,467,1,/wiki/Friday_the_13th_(NES_video_game)
250,Fun House,,1991-01-01,,477,1,/wiki/Fun_House_(video_game)
251,G.I. Joe,,1991-01-01,,0,1,/wiki/G.I._Joe_(NES_video_game)
252,G.I. Joe: The Atlantis Factor,,1992-03-01,,0,1,/wiki/G.I._Joe:_The_Atlantis_Factor
253,Galactic Crusader,,,,2420,0,/wiki/Galactic_Crusader
254,Galaga,,1988-09-01,,623,1,/wiki/Galaga
255,Galaxy 5000,,1991-02-01,,1440,1,/wiki/Galaxy_5000
256,Gargoyle's Quest II,,1992-10-01,1993-06-17,0,1,/wiki/Gargoyle%27s_Quest_II
257,Gauntlet,,1987-01-01,,512,1,/wiki/Gauntlet_(1985_video_game)
258,Gauntlet II,,1990-09-01,1991-04-25,516,1,/wiki/Gauntlet_II
259,GemVenture,,,,0,0,/w/index.php?title=GemVenture&amp;action=edit&amp;redlink=1
260,Gemfire,,1992-03-01,,5999,1,/wiki/Gemfire
261,Geminim/Siamond,,,,0,0,/w/index.php?title=Geminim/Siamond&amp;action=edit&amp;redlink=1
262,Genghis Khan,,1990-01-01,,672,1,/wiki/Genghis_Khan_(video_game)
263,George Foreman's KO Boxing,,1992-12-01,,325,1,/wiki/George_Foreman%27s_KO_Boxing
264,Ghostbusters,,1988-10-01,,538,1,/wiki/Ghostbusters_(video_game)#Ghostbusters_.28Activision.29
265,Ghostbusters II,,1990-04-01,1990-12-07,544,1,/wiki/Ghostbusters_(video_game)#Ghostbusters_II_video_game
266,Ghosts'n Goblins,,1986-11-01,1989-03-23,0,1,/wiki/Ghosts%27n_Goblins
267,Ghoul School,,1992-03-01,,1106,1,/wiki/Ghoul_School
268,Glider,,,,0,0,/w/index.php?title=Glider_(game)&amp;action=edit&amp;redlink=1
269,Goal!,,1989-10-01,1994-03-24,0,1,/wiki/Goal!_(video_game)
270,Goal! Two,,1992-11-01,,0,1,/wiki/Goal!_Two
271,Godzilla 2: War of the Monsters,,1992-02-01,,4770,1,/wiki/Godzilla_2:_War_of_the_Monsters
272,Godzilla: Monster of Monsters,,1989-10-01,,0,1,/wiki/Godzilla:_Monster_of_Monsters
273,Golf,,1985-10-01,1986-11-15,349,1,/wiki/Golf_(video_game)
274,Golf Grand Slam,,1991-11-01,,650,1,/wiki/Golf_Grand_Slam_(video_game)
275,Golgo 13: Top Secret Episode,,1988-09-01,,299,1,/wiki/Golgo_13:_Top_Secret_Episode
276,Gotcha! The Sport!,,1987-11-01,,0,1,/wiki/Gotcha!_The_Sport!
277,Gradius,,1986-12-01,1988-11-30,600,1,/wiki/Gradius
278,Greg Norman's Golf Power,,1992-07-01,,750,1,/wiki/Greg_Norman%27s_Golf_Power
279,Gremlins 2: The New Batch,,1990-10-01,1991-02-21,0,1,/wiki/Gremlins_2:_The_New_Batch_(video_game)
280,Guerrilla War,,1989-06-01,,889,1,/wiki/Guerrilla_War_(video_game)
281,Gumshoe,,1986-06-01,1988-06-15,532,1,/wiki/Gumshoe_(video_game)
282,Gun-Nac,,1991-09-01,,8500,1,/wiki/Gun-Nac
283,Gun.Smoke,,1988-02-01,1989-02-23,655,1,/wiki/Gun.Smoke
284,Gyromite,,1985-10-01,,300,1,/wiki/Gyromite
285,Gyruss,,1989-02-01,,395,1,/wiki/Gyruss
286,Hammerin' Harry,,,1992-01-01,0,1,/wiki/Hammerin%27_Harry
287,Harlem Globetrotters,,1991-03-01,,380,1,/wiki/Harlem_Globetrotters_(video_game)
288,Hatris,,1992-04-01,,825,1,/wiki/Hatris
289,Heavy Barrel,,1990-03-01,,457,1,/wiki/Heavy_Barrel
290,Heavy Shreddin',,1990-06-01,,299,1,/wiki/Heavy_Shreddin%27
291,High Speed,,1991-07-01,1994-04-28,386,1,/wiki/High_Speed_(video_game)
292,Hogan's Alley,,1985-10-01,1987-12-15,498,1,/wiki/Hogan%27s_Alley_(video_game)
293,Hollywood Squares,,1989-09-01,,399,1,/wiki/Hollywood_Squares_(video_game)
294,Home Alone,,1991-10-01,,622,1,/wiki/Home_Alone_(video_game)
295,Home Alone 2: Lost in New York,,1992-10-01,,425,1,/wiki/Home_Alone_2:_Lost_in_New_York_(video_game)
296,Hook,,1992-04-01,,551,1,/wiki/Hook_(video_game)
297,Hoops,,1989-06-01,,144,1,/wiki/Hoops_(video_game)
298,Hot Slots,,,,70000,0,/wiki/Hot_Slots
299,Hudson Hawk,,1992-02-01,,399,1,/wiki/Hudson_Hawk_(video_game)
300,Hydlide,,1989-06-01,,304,1,/wiki/Hydlide
301,Ice Climber,,1985-10-01,1986-09-01,950,1,/wiki/Ice_Climber
302,Ice Hockey,,1988-03-01,1988-04-15,400,1,/wiki/Ice_Hockey_(1988_video_game)
303,Ikari Warriors,,1987-05-01,1989-08-10,524,1,/wiki/Ikari_Warriors
304,Ikari Warriors II: Victory Road,,1988-04-01,,542,1,/wiki/Ikari_Warriors_II:_Victory_Road
305,Ikari Warriors III: The Rescue,,1991-02-01,,1318,1,/wiki/Ikari_III:_The_Rescue
306,Image Fight,,1990-06-01,,592,1,/wiki/Image_Fight
307,Impossible Mission II,,,,1100,0,/wiki/Impossible_Mission_II
